codigo_curso,nombre_curso,catedratico,auxiliar
1071,DIPLOMADO MANTENIMIENTO INDUSTRIAL,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,xxx
1074,DIPLOMADO EN LIDERAZGO DEL TALENTO HUMANO,CARLOS ALBERTO ARIAS LARA,xxx
1076,DIPLOMADO EN GESTION GERENCIAL DE OPERACIONES,ANDRES MANUEL REMIS SALGUERO,xxx
1077,DIPLOMADO EN RECURSOS HUMANOS,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,xxx
1084,DIPLOMADO DE PROPIEDAD INTELECTUAL,LIGIA EUNICE VASQUEZ DARDON,xxx
1090,"DIPLOMADO ELABORACION, FORMULACION Y EVALUACION DE PROYECTOS DE AGUA POTABLE Y SANEAMIENTO",JOSE MARIANO GATICA HUERTAS,xxx
1091,DIPLOMADO DESARROLLO DE PRACTICAS EMPRESARIALES,CARLOS MATIAS CASTELLANOS ARGUIJO,xxx
3120,MATEMATICA APLICADA 2 (DIPLOMADO),JOSE MARIA SAQUIMUX CANASTUJ,xxx
3606,ANALISIS DE SISTEMAS INDUSTRIALES (DIPLOMADO),JULIO  OSWALDO ROJAS  ARGUETA,xxx
3657,ADMINISTRACION DE EMPRESAS 2 (DIPLOMADO),ISMAEL HOMERO JEREZ GONZALEZ,xxx
3661,MERCADOTECNIA 2 (DIPLOMADO,MARIA MARTHA WOLFORD E. DE HERNANDEZ,xxx
3669,ECONOMIA INDUSTRIAL (DIPLOMADO,JULIO  OSWALDO ROJAS  ARGUETA,xxx
3710,PLANEAMIENTO (DIPLOMADO),ALEJANDRO CASTAÑON LOPEZ,xxx
5003,DIBUJO TECNICO,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,xxx
5008,ARITMETICA,ESTUARDO AUGUSTO GARRIDO CHINCHILLA,xxx
5010,SEGURIDAD EN LAS OBRAS DE CONSTRUCCION,ANDRES MANUEL REMIS SALGUERO,xxx
5011,FUNDAMENTOS JURIDICOS CONSTITUCIONALES BASICOS DEL DERECHO LABORAL Y NORMAS LABORALES,CARLOS MATIAS CASTELLANOS ARGUIJO,xxx
5012,COMUNICACION Y REDACCION I,DIANA ORALIA SALGUERO ESPANA,xxx
7913,SEMINARIO DE INVESTIGACION ELECTRONICA,CARLOS EDUARDO GUZMAN SALAZAR,xxx
7935,SEMINARIO DE INVESTIGACION AMBIENTAL,MARILYN CARIBEL ROJAS MALDONADO,xxx
7980,INVESTIGACION 1,JUAN CARLOS LINARES CRUZ,xxx
7984,SEMINARIO DE INVESTIGACION E.P.S. ELECTRICA,KENNETH ISSUR ESTRADA RUIZ,xxx
7991,SEMINARIO DE INVESTIGACION CIVIL,JUAN CARLOS LINARES CRUZ,xxx
7993,SEMINARIO DE INVESTIGACION MECANICA,CARLOS HUMBERTO PEREZ RODRIGUEZ,xxx
218,LINEAS DE TRANSMISION,SAUL CABEZAS DURAN,xxx
508,MONTAJE Y MANTENIMIENTO DE EQUIPO,BYRON GIOVANNI PALACIOS COLINDRES,xxx
7905,SEMINARIO DE INVESTIGACION INDUSTRIAL,EDWIN JOSUE IXPATA REYES,xxx
7902,SEMINARIO DE INVESTIGACION QUIMICA,CESAR ALFONSO GARCIA GUERRA,xxx
173,ANALISIS MECANICO,MURPHY OLYMPO PAIZ RECINOS,xxx
307,TIPOLOGIA ESTRUCTURAL,JOSÉ ESTUARDO GALINDO ESCOBAR,xxx
332,PUENTES,VICTOR VINICIO BARRIOS US,PAMELA ABIGAIL ROJAS OBRREGÓN
434,PROCESOS QUIMICOS INDUSTRIALES,VICTOR MANUEL MONZON VALDEZ,xxx
460,PAVIMENTOS,WUILLIAN RICARDO YON CHAVARRIA,xxx
506,PLANTAS DE VAPOR,ROBERTO GUZMAN ORTIZ,xxx
526,DISE\O DE MAQUINAS 2,MILTON ALEXANDER FUENTES OROZCO,DENNIS FERNANDO DE LEÓN ZALDAÑA
704,INGENIERIA ECONOMICA 3,JORGE RODOLFO GARCIA CARRERA,xxx
980,PROYECTOS DE COMPUTACION APLICADA A I.E.,JOSE ANIBAL SILVA DE LOS ANGELES,xxx
